,Comment ID,Body
0,htoab1v,Debussy’s Claire de Lune.
1,htoodhx,[removed]
2,htofcpe,"Hoppípolla by Sigur Rós, Your Hand in Mine by Explosions in the Sky"
3,htornm9,"I believe ""Something"" written by George Harrison is the most perfect love song ever written.

Imagine my surprise during the ""Get Back"" film when he brings an early version to John that goes ""There's something in the way she moves, attracts me like a cauliflower"""
4,htoidgu,Moonlight Sonata
5,htols8f,"The Breaking of the Fellowship. I suffer from severe migraines and for some unknown reason this piece always helps with the pain.
https://youtu.be/fowHzOH9rqk"
6,htos4kg,"Too many but ""Time in a Bottle"" by Jim Croce is very high up there for me as well as ""Ave Maria"" performed by Barbara Bonney.

EDIT: wow thanks for all the upvotes and the award! Never was voted this much before, thx all!"
7,htov8do,"This Must Be The Place- The Talking Heads

I don't know if it's technically ""beautiful"", but something about this song just gets me, right in my heart. It just feels like how I want love to feel."
8,htomklf,Over the Rainbow  by Israel Kamakawiwoʻole
9,htokdw5,Wish you were here by pink floyd
10,htorhoa,Telephone Line - Electric Light Orchestra
11,htopl07,"I really love ""DON'T DREAM ITS OVER"" by Neil Finn / Crowded House. His other band Split ENZ and the song ""Message To My Girl"". Those songs captivated me when I first heard them. I mean, early Kate Bush too. Some of those songs of hers like The Man With The Child In His Eyes and Symphony In Blue... I could go on..."
12,htoob2x,A Case of You by Joni Mitchell might be it for me. But it has a lot of associations for me personally. Her entire album Blue really. Just magic. Harvest Moon by Neil Young would also be in the running for me.
13,htorxq5,Band of Horses - The Funeral
14,htokwjl,Teardrop - Massive Attack
15,htoqrgf,Rainbow Connection - Kermit the Frog.
16,htoggoi,"The Blowers Daughter, Damien Rice.

God, I haven't thought about it in years either"
17,hto432c,God Only Knows by the Beach Boys.
18,hto44q8,Landslide by Fleetwood Mac
19,hto99tu,Bridge over troubled water - Simon & Garfunkel.
20,hto647a,[removed]
21,hto7kgc,"""Deliver Us"" from the ""Prince of Egypt"". The first time I heard it as an adult, I cried. So much suffering ""is just too gruelling to stand"". Real suffering. Like it as a kid, love as an adult."
22,htoow01,Harvest Moon by Neil Young
